#Function	Subsystem	Classification 1	Classification 2
Phage minor capsid protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein (lambda gpD-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
DNA retention and portal binding (lambda gpW-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
DNA retention and tail attachment (lambda gpFII-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (3'-extended COS ends)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (T4-like headful)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage major capsid protein of Caudovirales (T4-like gp23)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage capsid vertex protein (T4-like gp24)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein (Hoc)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein (Soc)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein (gp14)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein (gp4)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage fibritin (wac) protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head assembly chaperone protein (T4-like gp31)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head assembly chaperone protein (T4-like gp40)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein (T4-like gp21)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein (T4-like gp22)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein (T4-like gp68)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein (T4-like gp67)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Neck Protein (gp13)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Inh inhibitor of gp21 prohead protease	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (T4-like gp17)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, small subunit (T4-like gp16)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage portal (connector) protein (T4-like gp20)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (phi29-like gp16)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head assembly chaperone protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage major capsid protein of Caudovirales (HK97-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage (Mu-like) virion morphogenesis protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (Mu-like headful)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead core protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage packaged DNA stabilization protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage capsid packaging protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage capsid scaffolding protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (P2-like 5'-extended COS ends)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
terminal protein (phi29-like gp3), terminase small subunit analog	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein (phi29-like gp8.5 head fiber)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein (phi29 gp12-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead assembly (scaffolding) protein (phi29-like gp7)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head decoration protein (P22 Dec-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage capsid vertex assembly chaperone	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Unclassified maturation protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit (P22-like headful)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage minor virion protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage prohead protease protein (EC 3.4.-.-)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage portal (connector) protein (HK97-like)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage terminase, large subunit @ intein-containing	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein (T4-like gp14)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage head completion protein (T4-like gp13)	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Phage capsid vertex protein	Phage_head_and_packaging	Phages, Prophages, Transposable elements	Phages, Prophages
Cytochrome c551 NirM	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Cytochrome c55X precursor NirC	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Cytochrome cd1 nitrite reductase (EC:1.7.2.1)	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirD	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirF	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirG	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirH	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirJ	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Heme d1 biosynthesis protein NirL	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Nitrite reductase associated c-type cytochorome NirN	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Uroporphyrinogen-III methyltransferase (EC 2.1.1.107)	Dissimilatory_nitrite_reductase	Nitrogen Metabolism	
Phosphoglycolate phosphatase (EC 3.1.3.18)	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Putative phosphatase YfbT	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Putative phosphatase YqaB	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Putative phosphatase YieH	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
2-deoxyglucose-6-phosphate hydrolase YniC	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	2-phosphoglycolate_salvage	DNA Metabolism	DNA repair
FIG016425: Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)	CBSS-267608.1.peg.2815	Clustering-based subsystems	
Prolyl-tRNA synthetase (EC 6.1.1.15)	CBSS-267608.1.peg.2815	Clustering-based subsystems	
Sulfate transporter, CysZ-type	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin--sulfite reductase, actinobacterial type (EC 1.8.7.1)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin-like protein involved in electron transfer	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
4Fe-4S ferredoxin, iron-sulfur binding	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate and thiosulfate import ATP-binding protein CysA (EC 3.6.3.25)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate transport system permease protein CysW	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate transport system permease protein CysT	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate and thiosulfate binding protein CysP	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Adenylylsulfate kinase (EC 2.7.1.25)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
ABC-type probable sulfate transporter, permease protein	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
ABC-type probable sulfate transporter, ATPase component	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
ABC-type probable sulfate transporter, periplasmic binding protein	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate adenylyltransferase, dissimilatory-type (EC 2.7.7.4)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate permease, Pit-type	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate permease, Trk-type	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Sulfate-binding protein Sbp	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Putative sulfate permease	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Oxidoreductase probably involved in sulfite reduction	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Conserved hypothetical protein probably involved in sulfate reduction	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Adenylylsulfate reductase alpha-subunit (EC 1.8.99.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Adenylylsulfate reductase beta-subunit (EC 1.8.99.2)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin--sulfite reductase (EC 1.8.7.1)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Ferredoxin--sulfite reductase, bacillial type (EC 1.8.7.1)	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Conserved hypothetical protein probably involved in assimilatory sulfate reduction	Inorganic_Sulfur_Assimilation	Sulfur Metabolism	Inorganic sulfur assimilation
Phage collar	Phage_neck_proteins	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Phage neck whiskers	Phage_neck_proteins	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Phage neck protein	Phage_neck_proteins	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Phage neck	Phage_neck_proteins	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Allophycocyanin alpha chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Allophycocyanin beta chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Allophycocyanin-B	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome core component	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome core-membrane linker polypeptide	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome small core linker polypeptide	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycocyanin alpha chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycocyanin beta chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome small rod capping linker polypeptide, phycocyanin-associated	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome rod linker polypeptide, phycocyanin-associated	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycocyanobilin lyase alpha subunit	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycocyanobilin lyase beta subunit	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrin alpha chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrin beta chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome phycoerythrin-associated linker polypeptide	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrin linker protein CpeS homolog	Phycobilisome	Photosynthesis	Light-harvesting complexes
CpeR homolog, phycoerythrin linker-proteins region	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycocyanin alpha phycocyanobilin lyase related protein NblB	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome rod-core linker polypeptide, phycocyanin-associated	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrocyanin alpha chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrocyanin beta chain	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome rod linker polypeptide, phycoerythrocyanin-associated	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycobilisome degradation protein NblA	Phycobilisome	Photosynthesis	Light-harvesting complexes
Phycoerythrin gamma chain linker polypeptide	Phycobilisome	Photosynthesis	Light-harvesting complexes
Thymidylate kinase (EC 2.7.4.9)	CBSS-393133.3.peg.2787	Clustering-based subsystems	
protein from nitrogen regulatory protein P-II (GLNB) family, ortholog YAAQ B. subtilis	CBSS-393133.3.peg.2787	Clustering-based subsystems	
LSU ribosomal protein L10p (P0)	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
LSU ribosomal protein L11p (L12e)	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
LSU ribosomal protein L1p (L10Ae)	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
LSU ribosomal protein L7/L12 (P1/P2)	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
Preprotein translocase subunit SecE (TC 3.A.5.1.1)	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
Transcription antitermination protein NusG	LSU_ribosomal_proteins_cluster	Clustering-based subsystems	
FIG009210: peptidase, M16 family	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
FIG001621: Zinc protease	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
RecA protein	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Unspecified monosaccharide ABC transport system, ATP-binding protein	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Unspecified monosaccharide ABC transport system, permease component Ia (FIG025991)	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Unspecified monosaccharide ABC transport system, permease component Ib (FIG143636)	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Competence/damage-inducible protein CinA	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
FIG002344: Hydrolase (HAD superfamily)	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
FIG006542: Phosphoesterase	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Unspecified monosaccharide ABC transport system, permease component 2	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
Unspecified monosaccharide ABC transport system, permease component I	CBSS-257314.1.peg.676	Clustering-based subsystems	Two related proteases
1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Catechol 1,2-dioxygenase (EC 1.13.11.1)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
2-chlorobenzoate 1,2-dioxygenase reductase component	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
2-chlorobenzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.13)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
2-chlorobenzoate 1,2-dioxygenase beta subunit (EC 1.14.12.13)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Muconate cycloisomerase (EC 5.5.1.1)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Putative benzaldehyde dehydrogenase oxidoreductase protein (EC 1.2.1.28)	Chlorobenzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Tetrathionate reductase subunit A	Tetrathionate_respiration	Respiration	Electron accepting reactions
Tetrathionate reductase subunit B	Tetrathionate_respiration	Respiration	Electron accepting reactions
Tetrathionate reductase subunit C	Tetrathionate_respiration	Respiration	Electron accepting reactions
Octaheme tetrathionate reductase	Tetrathionate_respiration	Respiration	Electron accepting reactions
Tetrathionate reductase sensory transduction histidine kinase	Tetrathionate_respiration	Respiration	Electron accepting reactions
Tetrathionate reductase two-component response regulator	Tetrathionate_respiration	Respiration	Electron accepting reactions
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Amidophosphoribosyltransferase (EC 2.4.2.14)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Adenylosuccinate lyase (EC 4.3.2.2)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
IMP cyclohydrolase (EC 3.5.4.10)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
PurR: transcription regulator associated with purine metabolism	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
YabJ, a purine regulatory protein and member of the highly conserved YjgF family	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
IMP cyclohydrolase (EC 3.5.4.10) [alternate form]	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Phosphoribosylaminoimidazolecarboxamide formyltransferase [alternate form]	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Possible subunit variant of phosphoribosylaminoimidazolecarboxamide formyltransferase [alternate form]	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Possible third subunit-variant of phosphoribosylaminoimidazolecarboxamide formyltransferase [alternate form]	De_Novo_Purine_Biosynthesis	Nucleosides and Nucleotides	Purines
Terminase small subunit [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Similar to terminase small subunit, yqaS homolog	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Terminase large subunit [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Terminase, large subunit [Bacteriophage PhiNIH1.1]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Portal protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Minor capsid protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Scaffolding protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Major capsid protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Lactobacillus delbrueckii phage mv4 main capsid protein Gp34 homolog lin2390	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp7 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp8 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp9 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp10 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp11 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Major tail shaft protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp13 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp14 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp15 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Tail tape-measure protein [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Putative tail or base plate protein gp17 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Putative tail or base plate protein gp18 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Putative tail or base plate protein gp19 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Putative long tail fibre [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Putative short tail fibre [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp22 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp23 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Holin [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Endolysin, L-alanyl-D-glutamate peptidase (EC 3.4.-.-) [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Integrase [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp33 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp34 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Repressor (CI-like) [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Repressor (cro-like) [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp37 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp40 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Protein gp41 [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
Hypothetical protein, Lin0079 homolog [Bacteriophage A118]	Listeria_phi-A118-like_prophages	Phages, Prophages, Transposable elements, Plasmids	Phages, Prophages
