#Function	Subsystem	Classification 1	Classification 2
Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion	CBSS-404974.3.peg.999	Clustering-based subsystems	
Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	CBSS-404974.3.peg.999	Clustering-based subsystems	
ABC transporter, periplasmic spermidine putrescine-binding protein potD (TC_3.A.1.11.1)	CBSS-404974.3.peg.999	Clustering-based subsystems	
Probable proline and glycine rich transmembrane protein gene in bax	CBSS-404974.3.peg.999	Clustering-based subsystems	
Spermidine Putrescine transport ATP-binding protein potA (TC_3.A.1.11.1)	CBSS-404974.3.peg.999	Clustering-based subsystems	
Spermidine Putrescine ABC transporter permease component potB (TC_3.A.1.11.1)	CBSS-404974.3.peg.999	Clustering-based subsystems	
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	CBSS-404974.3.peg.999	Clustering-based subsystems	
NAD-dependent protein deacetylase of SIR2 family	CBSS-404974.3.peg.999	Clustering-based subsystems	
Ammonia permease	CBSS-404974.3.peg.999	Clustering-based subsystems	
Ammonium transporter	CBSS-404974.3.peg.999	Clustering-based subsystems	
cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinase	CBSS-404974.3.peg.999	Clustering-based subsystems	
Sodium/alanine symporter	CBSS-404974.3.peg.999	Clustering-based subsystems	
Chromosome segregation ATPase	CBSS-404974.3.peg.999	Clustering-based subsystems	
Tripeptide aminopeptidase (EC 3.4.11.4)	CBSS-404974.3.peg.999	Clustering-based subsystems	
Thermostable carboxypeptidase 1	CBSS-404974.3.peg.999	Clustering-based subsystems	
Cobalt-zinc-cadmium resistance protein	CBSS-404974.3.peg.999	Clustering-based subsystems	
Y4oB	CBSS-404974.3.peg.999	Clustering-based subsystems	
Y4oC	CBSS-404974.3.peg.999	Clustering-based subsystems	
Nucleoside permease NupC	CBSS-404974.3.peg.999	Clustering-based subsystems	
NAD-dependent deacetylase (EC 3.5.1.-)	CBSS-404974.3.peg.999	Clustering-based subsystems	
transcriptional regulator, Crp/Fnr family	CBSS-404974.3.peg.999	Clustering-based subsystems	
GGDEF family protein	CBSS-404974.3.peg.999	Clustering-based subsystems	
Putrescine ABC transporter putrescine-binding protein potF (TC 3.A.1.11.2)	CBSS-404974.3.peg.999	Clustering-based subsystems	
Putrescine transport system permease protein potH (TC 3.A.1.11.2)	CBSS-404974.3.peg.999	Clustering-based subsystems	
universal stress protein family	CBSS-404974.3.peg.999	Clustering-based subsystems	
Universal stress protein UspA	CBSS-404974.3.peg.999	Clustering-based subsystems	
Universal stress protein E # interrupted	CBSS-404974.3.peg.999	Clustering-based subsystems	
Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Octaprenyl-diphosphate synthase (EC 2.5.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Geranylgeranyl reductase (EC 1.3.1.83)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Solanesyl diphosphate synthase (EC 2.5.1.11)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4,4'-diaponeurosporenoate glycosyltransferase (EC 2.4.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene desaturase (EC 1.14.99.-) (Diapophytoene desaturase) (4,4'-diapophytoene desaturase)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dehydrosqualene synthase (EC 2.5.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-)	Polyprenyl_Diphosphate_Biosynthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Aspartate 1-decarboxylase (EC 4.1.1.11)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Dephospho-CoA kinase (EC 2.7.1.24)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Ketol-acid reductoisomerase (EC 1.1.1.86)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantoate--beta-alanine ligase (EC 6.3.2.1)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
2-dehydropantoate 2-reductase (EC 1.1.1.169)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantothenate kinase (EC 2.7.1.33)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Substrate-specific component PanT of predicted pantothenate ECF transporter	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Dephospho-CoA kinase archaeal, predicted (EC 2.7.1.24)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantoate kinase, archaeal (EC 2.7.1.-)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Phosphopantetheine adenylyltransferase, type II eukaryotic (EC 2.7.7.3)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Phosphopantothenate synthetase, archaeal	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
Pantothenate:Na+ symporter (TC 2.A.21.1.1)	Coenzyme_A_Biosynthesis	Cofactors, Vitamins, Prosthetic Groups, Pigments	Coenzyme A
TniB NTP-binding protein	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
TniA putative transposase	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Mll9366 protein	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
ComM-related protein	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
MG(2+) CHELATASE FAMILY PROTEIN	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Segregation and condensation protein B	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Resolvase/Integrase TinR protein	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
TniQ	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
FIGfam050825	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
ISPsy4, transposition helper protein	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Plasmid replication protein RepA	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Integrase/recombinase clustered with segregation and condensation protein B	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
protein of unknown function DUF1612	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
protein of unknown function DUF1403	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Transposase OrfAB, subunit B	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
FIGfam110555	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
ISPsy4, transposase	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Predicted nucleotidyltransferases	CBSS-203122.12.peg.188	Phages, Prophages, Transposable elements	
Phosphoesterase, DHH family protein	SA:14-24	Clustering-based subsystems	
LSU ribosomal protein L9p	SA:14-24	Clustering-based subsystems	
Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	SA:14-24	Clustering-based subsystems	
Adenylosuccinate synthetase (EC 6.3.4.4)	SA:14-24	Clustering-based subsystems	
Two-component response regulator SA14-24	SA:14-24	Clustering-based subsystems	
Two-component sensor kinase SA14-24	SA:14-24	Clustering-based subsystems	
FIG011501: YycH protein	SA:14-24	Clustering-based subsystems	
hypothetical protein SA_21	SA:14-24	Clustering-based subsystems	
Zn-dependent hydrolase (beta-lactamase superfamily)	SA:14-24	Clustering-based subsystems	
Serine protease, DegP/HtrA, do-like (EC 3.4.21.-)	SA:14-24	Clustering-based subsystems	
Virulence-associated cell-wall-anchored protein SasH (LPXTG motif)	SA:14-24	Clustering-based subsystems	
LSU m3Psi1915 methyltransferase RlmH	SA:14-24	Clustering-based subsystems	
CI-like repressor, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Cro-like repressor, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Heat shock protein 60 family chaperone GroEL	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAR0365 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAR0369 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0787 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0788 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0789 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0790 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0791 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0792 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0793 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0794 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0795 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0796 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0797 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0798 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0799 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0808 homolog, near pathogenicity islands SaPI att-site	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Integrase, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Methionine ABC transporter substrate-binding protein	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Putative terminase, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
SSU ribosomal protein S18p	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Secreted protein Ear, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Superantigen enterotoxin SEB	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Superantigen enterotoxin SEK	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Superantigen enterotoxin SEL	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
tmRNA-binding protein SmpB	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAR0371 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAR0372 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAR0385 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0801 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Putative DNA helicase, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Toxic shock syndrome toxin 1 (TSST-1)	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Ferrichrome-binding periplasmic protein precursor in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV0786 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV2026 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical SAV2027 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Degenerate integrase, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical MW0753 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Hypothetical MW0754 homolog in superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Putative primase, superantigen-encoding pathogenicity islands SaPI	Staphylococcal_pathogenicity_islands_SaPI	Virulence	Pathogenicity islands
Fucose permease	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
Alpha-L-fucosidase (EC 3.2.1.51)	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
Possible alternative L-fucose mutarotase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
L-fuco-beta-pyranose dehydrogenase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
L-fuconolactone hydrolase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
L-fuconate dehydratase (EC 4.2.1.68)	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
2-keto-3-deoxy-L-fuconate dehydrogenase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
2,4-diketo-3-deoxy-L-fuconate hydrolase	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
dehydrogenase clustered with L-fuconate utilization genes	L-fucose_utilization_temp	Carbohydrates	Monosaccharides
COG1242: Predicted Fe-S oxidoreductase	An_Fe-S_oxireductase_coupled_with_a_methyltransferase		
SAM-dependent methyltransferase, MraW methylase family (EC 2.1.1.-)	An_Fe-S_oxireductase_coupled_with_a_methyltransferase		
Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	CBSS-188.1.peg.9880	Clustering-based subsystems	Three hypotheticals linked to lipoprotein biosynthesis
COG1496: Uncharacterized conserved protein	CBSS-188.1.peg.9880	Clustering-based subsystems	Three hypotheticals linked to lipoprotein biosynthesis
COG1565: Uncharacterized conserved protein	CBSS-188.1.peg.9880	Clustering-based subsystems	Three hypotheticals linked to lipoprotein biosynthesis
FIG018229: hypothetical protein	CBSS-188.1.peg.9880	Clustering-based subsystems	Three hypotheticals linked to lipoprotein biosynthesis
FIG094328: hypothetical protein	CBSS-300852.3.peg.1399		
FIG188645: PAP/25A core domain:DNA polymerase, beta-like region	CBSS-300852.3.peg.1399		
Tryptophanyl-tRNA synthetase (EC 6.1.1.2)	tRNA_aminoacylation,_Trp	Protein Metabolism	Protein biosynthesis
Sulfate permease	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Adenylylsulfate kinase (EC 2.7.1.25)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Serine acetyltransferase (EC 2.3.1.30)	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Cys regulon transcriptional activator CysB	Superpathway_of_cysteine_biosynthesis	Experimental Subsystems	
Conserved protein YghT, with nucleoside triphosphate hydrolase domain	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Conserved ATP-binding protein YghS	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Conserved protein YghR, with nucleoside triphosphate hydrolase domain	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Inner membrane protein YghQ, probably involved in polysaccharide biosynthesis	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Conserved hypothetical TPR repeat protein, clustered with yghQ	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Transcriptional regulator, YtfJ-family	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Permease Ygh-P1, YjgP/YjgQ family	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
Permease Ygh-P2, YjgP/YjgQ family	Conserved_cluster_around_inner_membrane_protein_gene_yghQ,_probably_involved_in_polysaccharide_biosynthesis	Carbohydrates	
FIG001881: hydrolase of alkaline phosphatase superfamily	CBSS-211586.1.peg.1979		
FIG002927: hypothetical protein	CBSS-211586.1.peg.1979		
Nucleoid-associated protein NdpA	CBSS-211586.1.peg.1979		
Energy conserving hydrogenase Ehb protein A	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein B	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein C	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein D	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb transmembrane protein E	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb anchor subunit F	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein G	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein H	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein I	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein J	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb polyferredoxin (protein K)	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb ferredoxin-containing protein L	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb small subunit (protein M)	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb large subunit (protein N)	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb integral membrane protein O	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein P	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
Energy conserving hydrogenase Ehb protein Q	Energy_conserving_hydrogenase_b,_Methanococcales-Methanobacteriales-Methanopyrales	Respiration	Reverse electron transport
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [bacillibactin] siderophore	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Isochorismatase (EC 3.3.2.1) [bacillibactin] siderophore	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Isochorismate synthase (EC 5.4.4.2) [bacillibactin] siderophore	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [bacillibactin] siderophore	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Bacillibactin synthetase component F (EC 2.7.7.-)	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Trilactone hydrolase [bacillibactin] siderophore	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Fe-bacillibactin uptake system FeuA, Fe-bacillibactin binding	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Fe-bacillibactin uptake system FeuB	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Fe-bacillibactin uptake system FeuC	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Fe-bacillibactin uptake system FeuA, regulatory component	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
Fe-bacillibactin uptake system FeuD	Bacillibactin_Siderophore	Virulence	Iron Scavenging Mechanisms
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Isopentenyl-diphosphate delta-isomerase (EC 5.3.3.2)	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
undecaprenyl diphosphate synthase	polyprenyl_synthesis	Fatty Acids, Lipids, and Isoprenoids	Isoprenoids
Dihydroxyacetone kinase family protein	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
FIG001802: Putative alkaline-shock protein	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
LSU ribosomal protein L28p	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
Serine/threonine protein kinase PrkC, regulator of stationary phase	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
Ribosome small subunit-stimulated GTPase EngC	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
Thiamin pyrophosphokinase (EC 2.7.6.2)	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins
